system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed.inp	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed.inp	638	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check	normal	/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed.out	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed.out	338759	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/trajectory.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed_trj.xyz	18681117	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/Plots/amp_frame12_dry_md_fixed_E_Tot.svg	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/Plots/amp_frame12_dry_md_fixed_E_Tot.svg	31596	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/Plots/amp_frame12_dry_md_fixed_Temp.svg	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/Plots/amp_frame12_dry_md_fixed_Temp.svg	31327	non-primary dry check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.bibtex	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.bibtex	4659	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.cpcm_corr	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.cpcm_corr	225679	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.densitiesinfo	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.densitiesinfo	1838	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.engrad	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.engrad	18324	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.inp	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.inp	593	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.opt	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.opt	16964	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check	normal	/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.out	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.out	311075	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/amp_frame12.xyz	12192	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/frame12.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/frame12.xyz	12024	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12.xyz	12192	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.bibtex	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.bibtex	4334	non-primary check or exploratory calculation
